id,category,question,answer,token_count
23,Biology & Nature,Why do leaves change color in the autumn?,"In autumn, days get shorter and temperatures drop, causing trees to stop producing chlorophyll (green pigment), which reveals the hidden yellow and orange carotenoid pigments in the leaves.",38
24,Biology & Nature,How do vaccines provide immunity?,"Vaccines introduce a harmless component of a pathogen (like a weakened or dead virus) to the body, training the immune system to recognize and destroy it without causing the actual disease.",38
25,Biology & Nature,What is the main function of white blood cells?,White blood cells (leukocytes) are part of the immune system responsible for defending the body against infectious disease and foreign materials by attacking pathogens.,35
26,Biology & Nature,Why is biodiversity important for ecosystems?,"Biodiversity ensures ecosystem resilience, as a wide variety of species guarantees natural sustainability for all life forms by providing food, clean air, water, and fertile soil.",34
27,Biology & Nature,How do chameleons change their color?,"Chameleons change color by adjusting nanocrystals in specialized cells called iridophores, which reflect different wavelengths of light, primarily for communication and temperature regulation rather than camouflage.",34
28,Biology & Nature,What is DNA and where is it found?,"DNA (deoxyribonucleic acid) is a molecule that carries the genetic instructions for the development, functioning, and reproduction of all known organisms, primarily located in the cell nucleus.",37
29,Biology & Nature,How do plants absorb water from the soil?,"Plants absorb water through their root hairs via osmosis, and it moves up the plant through the xylem tissue driven by capillary action and transpiration pull from the leaves.",39
30,Biology & Nature,What causes mutations in living organisms?,"Mutations are caused by errors during DNA replication, or by exposure to environmental mutagens like ultraviolet light, radiation, and certain chemicals, leading to changes in the genetic sequence.",36
31,History & Civilizations,What was the primary cause of the fall of the Roman Empire?,"The fall of the Roman Empire wasn't caused by a single event but by a combination of factors including continuous barbarian invasions, economic troubles, military overspending, and political corruption.",43
32,History & Civilizations,Why was the printing press invented by Gutenberg so revolutionary?,"Gutenberg's printing press revolutionized society by allowing the mass production of books, drastically reducing their cost, accelerating the spread of knowledge, and fueling the Renaissance and Reformation.",39
33,History & Civilizations,What was the purpose of the Silk Road?,"The Silk Road was an ancient network of trade routes connecting the East and West, facilitating the exchange of goods like silk and spices, as well as culture, religion, and disease.",41
34,History & Civilizations,How did the Pyramids of Giza be built?,"The Pyramids were likely built by a massive workforce of skilled laborers who moved and stacked massive limestone blocks using ramps, levers, and sledges lubricated with water to reduce friction.",40
35,History & Civilizations,What triggered World War I?,"WWI was triggered by the assassination of Archduke Franz Ferdinand of Austria-Hungary in Sarajevo, which activated a complex system of mutual defense alliances among European powers.",33
36,History & Civilizations,Why did the Renaissance start in Italy?,"The Renaissance started in Italy due to its wealthy city-states, the remnants of Roman culture, the fall of Constantinople (which brought Greek scholars to Italy), and heavy patronage of the arts.",40
37,History & Civilizations,What was the significance of the Magna Carta?,"The Magna Carta, signed in 1215, established the principle that everyone, including the king, was subject to the law, laying the groundwork for modern constitutional democracy.",36
38,History & Civilizations,How did the Industrial Revolution change society?,"The Industrial Revolution transitioned societies from agrarian, hand-crafted economies to urban, machine-driven manufacturing, drastically altering living conditions, social classes, and global trade.",31
39,History & Civilizations,What was the Cold War?,"The Cold War was a period of geopolitical tension between the Soviet Union and the United States and their respective allies, characterized by nuclear arms races, espionage, and proxy wars, but no direct military conflict.",42
40,History & Civilizations,Why did the ancient Mayans build pyramids?,"The Mayans built pyramids as religious temples to honor their gods, and they often served as the focal point for rituals, including human sacrifices, and as astronomical observatories.",37
41,Geography & Earth Sciences,What causes earthquakes?,"Earthquakes are caused by the sudden release of energy in the Earth's crust when tectonic plates shift, creating seismic waves that result in ground shaking.",30
42,Geography & Earth Sciences,How are caves formed?,"Most caves are formed in limestone rock by the slow dissolving action of slightly acidic groundwater over thousands to millions of years, a process called speleogenesis.",32
43,Geography & Earth Sciences,Why is the Dead Sea so salty?,"The Dead Sea is so salty because it is a terminal lake with no outflow; water only leaves through evaporation, leaving behind the high concentrations of minerals and salts carried in by the Jordan River.",44
44,Geography & Earth Sciences,What is the greenhouse effect?,"The greenhouse effect is a natural process where certain gases in Earth's atmosphere trap heat from the sun, warming the planet to a habitable temperature, though human activities have intensified this effect.",39
45,Geography & Earth Sciences,How do volcanic islands form?,"Volcanic islands form from the accumulation of lava and volcanic ash erupting from the ocean floor, usually at tectonic plate boundaries or over mantle ""hotspots,"" eventually building up above sea level.",38
46,Geography & Earth Sciences,What is the difference between weather and climate?,"Weather refers to short-term, localized atmospheric conditions (like rain or sunshine on a given day), while climate is the long-term average of weather patterns over decades or centuries in a region.",41
47,Geography & Earth Sciences,Why are rainforests located near the equator?,"Rainforests are located near the equator because this region receives direct, intense sunlight year-round, driving high rates of evaporation, convectional rainfall, and consistent warm temperatures.",34
48,Geography & Earth Sciences,What creates the Northern Lights (Aurora Borealis)?,"The Northern Lights are created when charged particles from the sun interact with Earth's magnetic field, directing them toward the poles where they collide with atmospheric gases, causing them to glow.",40
49,Geography & Earth Sciences,How do glaciers shape the land?,"Glaciers shape the land through erosion and deposition, carving out U-shaped valleys, fjords, and cirques by dragging rocks and sediment, and leaving behind moraines and drumlins as they retreat.",37
50,Geography & Earth Sciences,What is the Ring of Fire?,"The Ring of Fire is a horseshoe-shaped belt around the Pacific Ocean where about 90% of the world's earthquakes and 75% of its active volcanoes occur, due to tectonic plate boundaries.",39
51,Literature & Arts,What is the defining characteristic of Shakespearean sonnets?,"Shakespearean sonnets consist of 14 lines written in iambic pentameter, following a specific rhyme scheme of ABAB CDCD EFEF GG, and typically ending with a rhyming couplet.",37
52,Literature & Arts,How did Impressionism change the art world?,"Impressionism broke away from traditional, realistic painting by focusing on capturing fleeting moments of light and color using visible brushstrokes and painting outdoors (en plein air).",35
53,Literature & Arts,"What is the concept of ""stream of consciousness"" in literature?","Stream of consciousness is a narrative technique that presents a character's flowing thoughts and feelings as they occur, often without traditional syntax or punctuation, to depict internal mental states.",41
54,Literature & Arts,Why is the Mona Lisa so famous?,"The Mona Lisa is famous for Leonardo da Vinci's masterful use of sfumato (subtle shading), her enigmatic smile, and the massive publicity it received after it was stolen from the Louvre in 1911.",42
55,Literature & Arts,What is the purpose of a chorus in ancient Greek tragedy?,"The chorus in ancient Greek tragedy provides commentary on the action, offers background information, reflects the opinions of the audience, and often represents the societal norms of the time.",42
56,Literature & Arts,How does jazz music differ from classical music?,"Jazz relies heavily on improvisation, syncopation, and swing rhythms, allowing musicians to express individuality, whereas classical music focuses on precise notation, structure, and composer-driven execution.",35
57,Literature & Arts,What are the primary themes in dystopian fiction?,"Dystopian fiction typically explores themes of oppressive government control, loss of individuality, environmental disaster, and the dangerous consequences of technological advancements.",31
58,Literature & Arts,"Who wrote ""One Hundred Years of Solitude"" and what genre is it?","Gabriel García Márquez wrote ""One Hundred Years of Solitude,"" and it is a seminal work of magical realism, blending mythical and fantastical elements with the realistic history of a fictional town.",45
59,Literature & Arts,What is the rule of thirds in photography?,"The rule of thirds is a compositional guideline that divides an image into a 3x3 grid, suggesting that placing subjects along the lines or intersections creates a more balanced and engaging photograph.",42
60,Literature & Arts,Why did abstract art emerge in the early 20th century?,"Abstract art emerged as artists sought to move away from visual reality, driven by a desire to express inner emotions, spiritual ideas, and the rapid changes of the modern industrialized world.",43
61,Health & Medicine,Why is sleep essential for human health?,"Sleep is essential because it allows the brain to consolidate memories, clears out cellular waste, repairs tissues, regulates hormones, and strengthens the immune system.",33
62,Health & Medicine,How does the heart pump blood through the body?,"The heart pumps blood by contracting its four chambers in a synchronized rhythm: the atria receive blood, and the ventricles contract to push oxygenated blood to the body and deoxygenated blood to the lungs.",45
63,Health & Medicine,What is the difference between a virus and a bacteria?,"Bacteria are single-celled, living organisms that can survive independently and are treated with antibiotics, while viruses are non-living packages of genetic material that require a host cell to replicate and are treated with antivirals.",46
64,Health & Medicine,Why do humans need to consume vitamins?,"Humans need vitamins because the body cannot synthesize enough of them; they act as essential coenzymes in metabolic processes, supporting immune function, bone health, and energy production.",36
65,Health & Medicine,What causes type 2 diabetes?,"Type 2 diabetes is caused by the body becoming resistant to insulin or the pancreas failing to produce enough insulin, often linked to obesity, physical inactivity, and genetics.",35
66,Health & Medicine,How does the human body maintain its temperature?,"The body maintains temperature through the hypothalamus, which triggers sweating to cool down and shivering or blood vessel constriction to generate and retain heat.",34
67,Health & Medicine,What is the function of the human skeleton?,"The skeleton provides structural support for the body, protects vital internal organs, facilitates movement by acting as levers for muscles, and stores minerals like calcium.",35
68,Health & Medicine,Why does aerobic exercise improve cardiovascular health?,"Aerobic exercise strengthens the heart muscle, increases its pumping efficiency, lowers resting heart rate, improves blood vessel function, and helps reduce bad cholesterol.",32
69,Health & Medicine,What are antibodies and how do they work?,"Antibodies are Y-shaped proteins produced by the immune system that bind to specific foreign substances (antigens) like viruses or bacteria, neutralizing them or marking them for destruction.",37
70,Health & Medicine,How does anesthesia prevent pain during surgery?,"General anesthesia works by using drugs to interrupt nerve impulses in the brain and spinal cord, inducing a controlled state of unconsciousness, immobility, and amnesia, blocking the perception of pain.",39
71,Physics & Chemistry,What is the theory of relativity?,"The theory of relativity, developed by Albert Einstein, encompasses two ideas: special relativity (speed of light is constant, time/space are relative) and general relativity (gravity is the curvature of spacetime by mass).",40
72,Physics & Chemistry,How do magnets work?,"Magnets work because their atoms are aligned in such a way that their individual magnetic fields (caused by the spin of electrons) combine to create a strong, unified magnetic field with distinct north and south poles.",42
73,Physics & Chemistry,What is the Heisenberg Uncertainty Principle?,The Heisenberg Uncertainty Principle states that it is fundamentally impossible to simultaneously know both the exact position and the exact momentum of a quantum particle; measuring one precisely makes the other uncertain.,40
74,Physics & Chemistry,Why does sound travel faster in water than in air?,"Sound travels faster in water because water molecules are packed much more densely than air molecules, allowing the mechanical wave of compression and rarefaction to propagate more quickly.",40
75,Physics & Chemistry,What is an isotope?,"An isotope is a variant of a chemical element that has the same number of protons but a different number of neutrons in its nucleus, resulting in a different atomic mass.",37
76,Physics & Chemistry,How does a prism separate white light into colors?,"A prism separates white light because different colors (wavelengths) of light travel at slightly different speeds inside the glass, causing them to refract (bend) at different angles and spread out into a spectrum.",44
77,Physics & Chemistry,What is thermodynamics?,"Thermodynamics is the branch of physics dealing with heat, work, and energy, governed by four laws that dictate how energy moves and transforms within a system, notably stating that entropy (disorder) always increases.",38
78,Physics & Chemistry,Why is the periodic table arranged the way it is?,The periodic table is arranged by increasing atomic number (protons) and grouped into columns (groups) and rows (periods) based on repeating patterns in electron configurations and chemical properties.,40
79,Physics & Chemistry,What causes static electricity?,"Static electricity is caused by the transfer of electrons between two objects through friction or contact, leaving one object with a positive charge and the other with a negative charge.",36
80,Physics & Chemistry,How do nuclear reactors generate electricity?,"Nuclear reactors generate electricity by using the heat produced by nuclear fission (splitting uranium atoms) to boil water into steam, which then spins a turbine connected to a generator.",37
81,Economics & Business,What causes inflation in an economy?,"Inflation is primarily caused by demand-pull factors (consumer demand outpaces supply) or cost-push factors (production costs rise, forcing prices up), often exacerbated by an expansion of the money supply.",37
82,Economics & Business,How does supply and demand determine price?,"In a free market, the price of a good is determined by the intersection of supply and demand; if demand exceeds supply, prices rise, and if supply exceeds demand, prices fall until an equilibrium is reached.",45
83,Economics & Business,What is the purpose of a central bank?,"A central bank manages a country's currency, money supply, and interest rates, aiming to control inflation, stabilize the financial system, and promote sustainable economic growth.",35
84,Economics & Business,Why do companies issue stocks?,"Companies issue stocks to raise capital to fund business operations, expand, pay off debt, or launch new products, trading partial ownership of the company for cash from investors.",35
85,Economics & Business,What is gross domestic product (GDP)?,"GDP is the total monetary value of all finished goods and services produced within a country's borders in a specific time period, used as a broad measure of a nation's overall economic activity.",41
86,Economics & Business,How does compound interest differ from simple interest?,"Simple interest is calculated only on the principal amount, while compound interest is calculated on the principal plus any previously accumulated interest, leading to exponential growth over time.",38
87,Economics & Business,What is a monopoly in economics?,"A monopoly exists when a single company or entity controls the entire market for a product or service, facing no significant competition, which allows it to dictate prices and reduce consumer choice.",40
88,Economics & Business,Why is diversification important in investing?,"Diversification reduces risk by spreading investments across various asset classes, industries, or geographical regions, ensuring that a poor performance in one area doesn't devastate the entire portfolio.",35
89,Economics & Business,What is the difference between fiscal and monetary policy?,"Fiscal policy involves government decisions on taxation and spending to influence the economy, while monetary policy involves a central bank manipulating interest rates and the money supply.",38
90,Economics & Business,How does outsourcing affect a domestic economy?,"Outsourcing can lower costs and increase profits for companies, but it often leads to domestic job losses in manufacturing or service sectors, shifting the economy toward different types of jobs.",39
91,Philosophy & Psychology,What is Plato's Allegory of the Cave?,"Plato's Allegory of the Cave suggests that everyday reality is like living in a cave watching shadows on a wall, representing ignorance; true knowledge and reality (the Forms) exist only outside the cave in the light.",45
92,Philosophy & Psychology,What is cognitive dissonance?,"Cognitive dissonance is the mental discomfort experienced by a person who holds two or more contradictory beliefs, values, or ideas, often leading them to change their beliefs or rationalize the conflict.",37
93,Philosophy & Psychology,How does classical conditioning work?,"Classical conditioning, discovered by Ivan Pavlov, is a learning process where a biologically potent stimulus (like food) is paired with a neutral stimulus (like a bell), eventually causing the neutral stimulus to trigger a conditioned response (salivation).",44
94,Philosophy & Psychology,What is the core idea of existentialism?,"Existentialism posits that humans are free agents who determine their own meaning and purpose in life through acts of free will, existing first and then creating their essence through choices.",39
95,Philosophy & Psychology,Why do people experience the placebo effect?,"The placebo effect occurs when a person experiences a perceived improvement in condition after receiving a fake treatment, driven by psychological expectations, conditioning, and the brain's natural pain-relief mechanisms.",38
96,Philosophy & Psychology,What is Maslow's Hierarchy of Needs?,"Maslow's Hierarchy is a psychological theory proposing that human needs are arranged in a pyramid, starting with basic physiological needs, moving up to safety, love/belonging, esteem, and finally self-actualization at the top.",40
97,Philosophy & Psychology,What is the difference between utilitarianism and deontology?,"Utilitarianism judges the morality of an action based on its outcome (maximizing overall happiness), while deontology judges morality based on adherence to rules and duties, regardless of the consequences.",39
98,Philosophy & Psychology,How does confirmation bias affect decision making?,"Confirmation bias leads people to search for, interpret, and remember information in a way that confirms their pre-existing beliefs, causing them to ignore contradictory evidence and make flawed decisions.",38
99,Philosophy & Psychology,What is the Sapir-Whorf hypothesis?,"The Sapir-Whorf hypothesis suggests that the structure and vocabulary of a language influence and limit its speakers' cognition, perception, and worldview.",28
100,Philosophy & Psychology,"What is the psychological concept of ""flow""?","""Flow"" is a mental state of deep, effortless concentration and immersion in an activity, where a person loses track of time and self-consciousness, usually occurring when the challenge perfectly matches their skill level.",42
